Betfair Country Code,Internal Competition, Team Betfair,Sportmonks Team ID
IT,Serie A,Lazio,43
IT,Serie A,Juventus,625
IT,Serie A,Inter,2930
IT,Serie A,Atalanta,708
IT,Serie A,Roma,37
IT,Serie A,Napoli,597
IT,Serie A,Milan,113
IT,Serie A,Verona,1123
IT,Serie A,Parma,398
IT,Serie A,Bologna,8513
IT,Serie A,Cagliari,585
IT,Serie A,Sassuolo,2714
IT,Serie A,Fiorentina,109
IT,Serie A,Udinese ,346
IT,Serie A,Torino,613
IT,Serie A,Lecce,7790
IT,Serie A,Sampdoria,522
IT,Serie A,Genoa,102
IT,Serie A,Brescia,10729
IT,Serie A,Spal,394
ES,La Liga,Real Madrid,3468
ES,La Liga,Barcelona,83
ES,La Liga,Sevilla,676
ES,La Liga,Getafe,106
ES,La Liga,Atletico Madrid,x
ES,La Liga,Real Sociedad,594
ES,La Liga,Valencia,214
ES,La Liga,Villareal,x
ES,La Liga,Granada,103
ES,La Liga,Athletic Bilbao,13258
ES,La Liga,Levante,3457
ES,La Liga,Osasuna,459
ES,La Liga,Alaves,x
ES,La Liga,Real Betis,485
ES,La Liga,Valladolid,361
ES,La Liga,Eibar,60
ES,La Liga,Celta Vigo,36
ES,La Liga,Mallorca,645
ES,La Liga,Leganes,x
ES,La Liga,Espanyol,528
FR,Ligue 1,PSG,591
FR,Ligue 1,Marseille,44
FR,Ligue 1,Rennes,598
FR,Ligue 1,Lille,690
FR,Ligue 1,Lyon,79
FR,Ligue 1,Montpellier,581
FR,Ligue 1,Monaco,6789
FR,Ligue 1,Stade Reims,1028
FR,Ligue 1,Nice,450
FR,Ligue 1,Strasbourg,686
FR,Ligue 1,Nantes,59
FR,Ligue 1,Bordeaux,3562
FR,Ligue 1,Angers,776
FR,Ligue 1,Brest,266
FR,Ligue 1,Metz,3513
FR,Ligue 1,St-Etienne,x
FR,Ligue 1,Dijon,6842
FR,Ligue 1,Nimes,x
FR,Ligue 1,Amiens,840
FR,Ligue 1,Toulouse,289
DE,Bundesliga,Bayern,x
DE,Bundesliga,Leipzig,277
DE,Bundesliga,Dortmund,68
DE,Bundesliga,Monchengladbach,683
DE,Bundesliga,Bayer Leverkusen,3321
DE,Bundesliga,Shalke 04,67
DE,Bundesliga,Wolfsburg,510
DE,Bundesliga,Hoffenheim,2726
DE,Bundesliga,Freiburg,3543
DE,Bundesliga,Union Berlin,1079
DE,Bundesliga,Koln,x
DE,Bundesliga,Eintracht,366
DE,Bundesliga,Ausburg,90
DE,Bundesliga,Hertha,3317
DE,Bundesliga,Mainz,794
DE,Bundesliga,Fortuna,x
DE,Bundesliga,Werder,82
DE,Bundesliga,Paderborn,2642
GB,Premier League,Liverpool,8
GB,Premier League,Manchester City,9
GB,Premier League,Leicester,42
GB,Premier League,Chelsea,18
GB,Premier League,Manchester United,14
GB,Premier League,Wolves,29
GB,Premier League,Tottenham,6
GB,Premier League,Sheff Utd,21
GB,Premier League,Burnley,27
GB,Premier League,Arsenal,19
GB,Premier League,Everton,13
GB,Premier League,Crystal Palace,51
GB,Premier League,Southampton,65
GB,Premier League,Newcastle,20
GB,Premier League,Brighton,78
GB,Premier League,West Ham,1
GB,Premier League,Watford,25
GB,Premier League,Bournemouth,52
GB,Premier League,Aston Villa,15
GB,Premier League,Norwich City,33